occurrence_id,classification,present_stowed,present_deployed,same_part_number,stable_part_definition_match,parent_assembly_path_match,part_occurrence_quantity_match,state_membership_match,stowed_transform_authority_max_error,deployed_transform_authority_max_error,state_transform_max_abs_delta,transform_authority_match,fixed_transform_stable,transform_state_behavior,transform_error,stowed_solid_count,deployed_solid_count,stowed_face_count,deployed_face_count,volume_delta_mm3,stowed_local_brep_sha256,deployed_local_brep_sha256,local_bbox_max_abs_delta_mm,surface_type_counts_match,serialized_local_brep_match,exact_common_status,exact_common_volume_mm3,stowed_minus_common_mm3,deployed_minus_common_mm3,exact_common_volume_tolerance_mm3,exact_common_full_volume_equivalent,exact_geometry_equivalent,geometry_equivalence_basis,exact_common_error,fingerprint_error,flexible_state_geometry_exception,status
BOOSTER-ISOLATION-VALVE-3,FIXED,True,True,True,True,True,True,True,4.417621069237666e-28,4.417621069237666e-28,0.0,True,True,FIXED_UNCHANGED,,1,1,30,30,0.0,ce80b7115ada0a79446b33e43c83dbfb89ee5abb0982ca249bb7c16e469c2468,ce80b7115ada0a79446b33e43c83dbfb89ee5abb0982ca249bb7c16e469c2468,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BUOY-GORE-01,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,14,11,40858.16585679208,95cf184cf349a0bf584e87ee69a58298631f9a8bb1cdaec23c866b15b7abb82e,4cba6943ea14260dcb3962a61a34f2ccb46914042e113125ac51fbb6ba14cba8,226.4,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
BUOY-GORE-02,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,6,4,40886.62470069246,aae17444c23e7a994f728881541c57a5f5fd44d1c1ca58e44e6db252a2d52a9d,e69e145f023d4657133224030e26971c6aa8c871850c01efc08857ebb69dbdca,246.309,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
BUOY-GORE-03,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,6,4,40886.6247007678,3dbad401b152b8ee256efd50c0ab8ca7c2c1f7e59431e324b87e1b443b7895c2,f30a0b87fe0323c2a8655779af433da9f2c152949326c95f6418c8044df8ecd1,246.309,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
BUOY-GORE-04,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,6,4,40886.624700694374,e0a1e86cd447f0cdbe91ca9d6d17d43d55d992b0c34d89d1aacc74847727148f,015038690f47c514cecb5196c70f40799f10e7bb1517d6e8244f37b94c9f3fc3,246.309,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
BUOY-GORE-05,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,11,406,41011.35776438141,30b4ecddf8ff7954bab0ee8f10bd50f5f011323a35e60a0ab6e0b6f8a1d1f62e,3e9b91d407799eb39df0936c2e46ef87762894b2a3bc34fa9483ee77f8a7f7de,233.74180911112867,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
BUOY-GORE-06,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,6,4,40886.62470069245,d5fa09454eb2f70e07dc64b5c5c1347ac16bac9ce406d7a0453c689d09f6e544,d88b27ab21b164aa7e4d20ee88f484ca63432a0b9ee82993bcab6cd441961d2d,246.309,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
BUOY-GORE-07,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,6,4,40886.6247007124,ed68b0df36ad002ca06273fe606143c59d3dca08c3d182459335d63f1c554a66,5a7629e76939688321cbe5d0356bb3f305c2b6f80884e15d7540581d91fcdb1e,246.309,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
BUOY-GORE-08,SOFTGOOD,True,True,True,True,True,True,True,0.0,0.0,431.5,True,True,MOVING_STATE_TRANSFORM_CHANGED,,1,1,6,4,40886.62470074924,402062a11144f9850c4932835b27dba89f62c3a4e99e1d0b81b3be80888a97a7,053e9454a735e7740e2dd15c5a4d1aeded26d3724e642c6047a78b3a11038990,246.309,False,False,,,,,,False,False,FLEXIBLE_STATE_GEOMETRY_EXCEPTION,,,True,PASS
CARTRIDGE-CARRIER-AFT,FIXED,True,True,True,True,True,True,True,0.0,0.0,0.0,True,True,FIXED_UNCHANGED,,5,5,43,43,0.0,5cd8e8c72e0640af82e66f672a0405f7a2ce2d5872529e8b37af1463e99e32ae,5cd8e8c72e0640af82e66f672a0405f7a2ce2d5872529e8b37af1463e99e32ae,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
