audit_elapsed_seconds,broad_phase_solid_candidates,classification,exact_common_volume_mm3,name_a,name_b,occurrence_a,occurrence_b,state,status
0.020227,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,POWERTRAIN_CARTRIDGE_SPINE,BACKUP_SPRING_FIXED_REACTION_SEAT,WP02-013,WP02-026,DEPLOYED,PASS
0.003262,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,POWERTRAIN_CARTRIDGE_SPINE,BACKUP_SPRING_GUIDE_PUSHROD,WP02-013,WP02-028,DEPLOYED,PASS
0.037684,4,NO_POSITIVE_COMMON_VOLUME,0.000000000,CROSSHEAD_GUIDE_ROD_SET,CROSSHEAD_SEAR_HOUSING,WP02-014,WP02-033,DEPLOYED,PASS
0.006089,1,INTENTIONAL_INTERNAL_COTS_TELESCOPING_REPRESENTATION,1062.011016067,GS19_FIXED_BODY_EXACT_VENDOR_BREP,GS19_MOVING_ROD_EXACT_VENDOR_BREP,WP02-015,WP02-016,DEPLOYED,ACCEPTED_REPRESENTATION_LIMITATION
0.007900,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,GS19_FIXED_BODY_EXACT_VENDOR_BREP,GS19_FIXED_ANCHOR,WP02-015,WP02-017,DEPLOYED,PASS
0.003333,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,GS19_FIXED_BODY_EXACT_VENDOR_BREP,BACKUP_SPRING_GUIDE_PUSHROD,WP02-015,WP02-028,DEPLOYED,PASS
0.002431,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,GS19_MOVING_ROD_EXACT_VENDOR_BREP,GS19_MOVING_ADAPTER,WP02-016,WP02-018,DEPLOYED,PASS
0.000978,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,GS19_FIXED_ANCHOR,BACKUP_SPRING_GUIDE_PUSHROD,WP02-017,WP02-028,DEPLOYED,PASS
0.006127,1,INTENTIONAL_INTERNAL_COTS_TELESCOPING_REPRESENTATION,318.086256176,HBD15_BODY_DRAWING_DERIVED,HBD15_ROD_DRAWING_DERIVED,WP02-019,WP02-020,DEPLOYED,ACCEPTED_REPRESENTATION_LIMITATION
0.003628,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,HBD15_BODY_DRAWING_DERIVED,HBD_CAPTIVE_BYPASS_CARRIAGE,WP02-019,WP02-022,DEPLOYED,PASS
0.002677,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,HBD15_BODY_DRAWING_DERIVED,HBD_BYPASS_RAIL_AND_SHOULDER_SET,WP02-019,WP02-023,DEPLOYED,PASS
0.001278,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,HBD15_BODY_DRAWING_DERIVED,BACKUP_SPRING_GUIDE_PUSHROD,WP02-019,WP02-028,DEPLOYED,PASS
0.005680,4,NO_POSITIVE_COMMON_VOLUME,0.000000000,HBD15_ROD_DRAWING_DERIVED,HBD_MOVING_LOST_MOTION_COUPLER,WP02-020,WP02-021,DEPLOYED,PASS
0.003805,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,HBD_CAPTIVE_BYPASS_CARRIAGE,HBD_BYPASS_RAIL_AND_SHOULDER_SET,WP02-022,WP02-023,DEPLOYED,PASS
0.002057,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,HBD_BYPASS_RAIL_AND_SHOULDER_SET,BACKUP_SPRING_GUIDE_PUSHROD,WP02-023,WP02-028,DEPLOYED,PASS
0.515949,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,BACKUP_SPRING_LHL625D12,BACKUP_SPRING_FIXED_REACTION_SEAT,WP02-025,WP02-026,DEPLOYED,PASS
0.004088,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,BACKUP_SPRING_MOVING_SEAT,BACKUP_SPRING_GUIDE_PUSHROD,WP02-027,WP02-028,DEPLOYED,PASS
0.016886,10,NO_POSITIVE_COMMON_VOLUME,0.000000000,POSITIVE_LOCK_HOUSING_SET,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-030,WP02-031,DEPLOYED,PASS
