BOOSTER-BAND-3-1	FIXED	FWD-SHELL-001=5.773159728050814E-15;BOOSTER-3=0.14999999999999833;FWD-LONGERON-3=3.0558445500780316;COLLECTION-MANIFOLD-001=4.5;BOOSTER-BAND-2-1=9.848711305964278;BOOSTER-BAND-1-1=9.848711305964283
BOOSTER-BAND-3-2	FIXED	FWD-SHELL-001=5.773159728050814E-15;BOOSTER-3=0.1499999999999984;FWD-LONGERON-3=3.0558445500780316;BOOSTER-BAND-2-2=9.848711305964278;BOOSTER-BAND-1-2=9.848711305964283;BOOSTER-2=10.548711305964279
BOOSTER-BAND-3-3	FIXED	FWD-SHELL-001=5.773159728050814E-15;BOOSTER-3=0.1499999999999984;FULLFLOW-VALVE-001=1.2999999999999998;FWD-LONGERON-3=3.0558445500780316;BOOSTER-BAND-2-3=9.848711305964278;BOOSTER-BAND-1-3=9.848711305964283
CARTRIDGE-CARRIER-AFT	FIXED	COLLECTION-MANIFOLD-001=0.0;FWD-LONGERON-1=0.2999999999999981;FWD-LONGERON-3=0.3000000000000002;FWD-LONGERON-2=0.3000000000000007;PUNCTURE-HEAD-1=4.149999999999997;PUNCTURE-HEAD-2=4.149999999999997
CARTRIDGE-CARRIER-FWD	FIXED	FWD-RING-01=0.10000000000002274;FWD-LONGERON-1=0.2999999999999977;FWD-LONGERON-3=0.2999999999999978;FWD-LONGERON-2=0.3000000000000007;FWD-SHELL-001=4.850000000000001;BALLAST-001=8.100000000000023
COLLECTION-MANIFOLD-001	FIXED	CARTRIDGE-CARRIER-AFT=0.0;PUNCTURE-HEAD-3=0.14999999999999766;PUNCTURE-HEAD-2=0.14999999999999825;PUNCTURE-HEAD-1=0.14999999999999852;PUNCTURE-HEAD-4=0.14999999999999947;FWD-LONGERON-1=0.799999999999996
CROSSHEAD-001	MOVING	BACKUP-SPRING-MOVING-SEAT=0.0;BACKUP-SPRING-GUIDE=0.14999999999999522;GS19-PIN-MOVING=0.17999999999989116;CROSSHEAD-GUIDE-001=0.3499999999999996;GS19-CLIP-MOVING=0.7249999999999988;ARM-2=1.3999999999999975
CROSSHEAD-GUIDE-001	FIXED	BACKUP-SPRING-MOVING-SEAT=0.30000000000000027;CROSSHEAD-001=0.3499999999999996;FIXED-STOP-3=0.6678885323398733;FIXED-STOP-2=0.6678885323398737;FIXED-STOP-1=0.6678885323398749;BACKUP-SPRING-001=3.739667427518897
DOOR-DETENT-1	FIXED	WP05-DOOR-001=0.10352263482900233;WP05-SERVICE-THROAT=0.11999995287566764;WP05-HINGE-CLIP=11.842909414427282;WP05-HINGE-PIN=12.063137063558719;WP05-DOOR-LANYARD=21.17747330380548;DOOR-DETENT-2=30.26417023478423
DOOR-DETENT-2	FIXED	WP05-DOOR-001=0.10352263482969859;WP05-SERVICE-THROAT=0.1199999528756474;WP05-DOOR-LANYARD=14.612219894587284;DOOR-DETENT-1=30.26417023478423;DOOR-DETENT-3=30.26417023478423;WP05-HINGE-CLIP=42.06946647594934
DOOR-DETENT-3	FIXED	WP05-DOOR-001=0.10352263482969859;WP05-SERVICE-THROAT=0.11999995287576024;WP05-DOOR-LANYARD=14.612219894587293;DOOR-DETENT-2=30.26417023478423;DOOR-DETENT-4=30.264170234784235;WP05-HINGE-PIN=41.60690784652802
DOOR-DETENT-4	FIXED	WP05-DOOR-001=0.10352263482968307;WP05-SERVICE-THROAT=0.11999995287568127;WP05-HINGE-PIN=10.648970515070818;WP05-DOOR-LANYARD=21.177473303805485;WP05-HINGE-CLIP=23.25003509872207;DOOR-DETENT-1=30.264170234784235
FIXED-SECTOR-1	FIXED	AFT-ROUTE-RING-001=0.0;ARM-LONGERON-1=0.0;FWD-RING-02=0.0;GLAND-GAS-MAIN-AFT=0.0;GLAND-GAS-MAIN-FWD=0.0;GLAND-PILOT-LINE-AFT=0.0
FIXED-SECTOR-2	FIXED	AFT-ROUTE-RING-001=0.0;ARM-LONGERON-2=0.0;FWD-RING-02=0.0;GLAND-BOWDEN-SHEATH-AFT=0.0;GLAND-BOWDEN-SHEATH-FWD=0.0;PIVOT-CLIP-2=0.0
FIXED-SECTOR-3	FIXED	AFT-ROUTE-RING-001=0.0;ARM-LONGERON-3=0.0;FWD-RING-02=0.0;ARM-3=2.9492381104045817;LINK-PIN-3-CROSSHEAD=3.612186374321918;BACKUP-SPRING-FIXED-SEAT=3.6999999999999993
FIXED-STOP-1	FIXED	CROSSHEAD-GUIDE-001=0.6678885323398749;FIXED-STOP-2=2.5993794560256784;FIXED-STOP-3=2.5993794560256824;ARM-1=4.3343485797651224;PIVOT-CARRIER-1=4.346659530311317;ROUTE-PILOT-LINE-001=7.478572192202023
